filename;title;description;feature;topic;role;level
./metadata.md;;;Control Panel;;Architect;Beginner
././help/TOC.md;;;Control Panel;;Architect;Beginner
./help/control-panel-home.md;Product documentation;;Control Panel;;Architect;Beginner
./help/release-notes.md;Control Panel releases;;Control Panel;;Architect;Beginner
./help/discover/using/key-features.md;Accessing Control Panel;Learn how to access the Control Panel;Control Panel;;Architect;Beginner
./help/discover/using/accessing-control-panel.md;Accessing Control Panel;Learn how to access the Control Panel;Control Panel;;Architect;Beginner
./help/discover/using/managing-permissions.md;Managing permissions to the Control Panel;Learn how to manage permissions to the Control Panel;Control Panel;;Architect;Intermediate
./help/discover/using/discovering-the-interface.md;Discovering Control Panel interface;Learn more about the Control Panel interface;Control Panel;;Architect;Intermediate
./help/sftp/using/about-sftp-management.md;About SFTP management;Learn more about SFTP management in the Control Panel;Control Panel;;Architect;Intermediate
./help/sftp/using/sftp-storage-management.md;SFTP storage management;Learn how to monitor and manage your SFTP server's storage;Control Panel;;Architect;Experienced
./help/sftp/using/ip-range-allow-listing.md;IP range allow listing;Learn how to add IP ranges to the allow list for SFTP servers access;Control Panel;;Architect;Experienced
./help/sftp/using/key-management.md;Key management;Learn how to manage keys to connect to SFTP servers;Control Panel;;Architect;Experienced
./help/sftp/using/logging-into-sftp-server.md;Logging into your SFTP server;Learn how to log into your SFTP server;Control Panel;;Architect;Experienced
./help/sftp/using/common-questions.md;Common questions;Learn more about common questions related to SFTP management;Control Panel;;Architect;Intermediate
./help/subdomains-certificates/using/subdomains-branding.md;Subdomains branding;Learn more about subdomains branding;Control Panel;;Architect;Intermediate
./help/subdomains-certificates/using/monitoring-subdomains.md;Monitoring subdomains' SSL certificates;Learn how to monitor your subdomains' SSL certificates;Control Panel;;Architect;Experienced
./help/subdomains-certificates/using/setting-up-new-subdomain.md;Setting up a new subdomain;Learn how to set up a new subdomain for your campaign instances;Control Panel;;Architect;Experienced
./help/subdomains-certificates/using/monitoring-ssl-certificates.md;Monitoring subdomains' SSL certificates;Learn how to monitor your subdomains' SSL certificates;Control Panel;;Architect;Experienced
./help/subdomains-certificates/using/renewing-subdomain-certificate.md;Renewing a subdomain's SSL certificate;Learn how to renew your subdomains' SSL certificates;Control Panel;;Architect;Experienced
./help/subdomains-certificates/using/managing-txt-records.md;Managing TXT records;Learn how to manage TXT records for domain ownership verification.;Control Panel;;Architect;Experienced
./help/performance-monitoring/using/about-performance-monitoring.md;About performance monitoring;Learn how to monitor your instances performance in the Control Panel;Control Panel;;Architect;Experienced
./help/performance-monitoring/using/database-monitoring.md;Database monitoring;Learn how to monitor your Campaign database in the Control Panel;Control Panel;;Architect;Experienced
./help/performance-monitoring/using/active-profiles-monitoring.md;Active profiles monitoring;Learn how to get real-time information on the latest and historical Active Profiles usage and evolution for each of your Campaign instances.;Control Panel;;Architect;Experienced
./help/performance-monitoring/using/email-alerting.md;Email alerting;Learn how to receive email notifications in case of issues with your Campaign instances;Control Panel;;Architect;Experienced
./help/instances-settings/using/ip-allow-listing-instance-access.md;IP allow listing;Learn how to add IP addresses to the allow list in the Control Panel for instance access;Control Panel;;Architect;Intermediate
./help/instances-settings/using/url-permissions.md;URL permissions;Learn how to manage URL permissions in the Control Panel;Control Panel;;Architect;Intermediate
./help/instances-settings/using/instance-details.md;Instance details;Learn how to monitor your instance details in the Control Panel;Control Panel;;Architect;Experienced
./help/instances-settings/using/gpg-keys-management.md;GPG keys management;Learn how to manage GPG keys to encrypt and decrypt data within Adobe Campaign.;Control Panel;;Architect;Experienced
./help/faq.md;Control Panel FAQ;Common questions related to the Control Panel;Control Panel;;Architect;Intermediate
